ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight),matrix,Alive or not,Basis of measurement,Biota species name (in Latin),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea"
22055,Implementation of WFD Montenegro,Real Sample,Nizvodno od Danilovgrada,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Podgorica,Montenegro,42.46827111,19.25784194,,,,,Andriatic Sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Zeta
22056,Implementation of WFD Montenegro,Real Sample,Nizvodno od Danilovgrada,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Podgorica,Montenegro,42.46827111,19.25784194,,,,,Andriatic Sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Zeta
22057,Implementation of WFD Montenegro,Real Sample,Duklov most,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Niksic,Montenegro,42.79294722,18.93425778,,,,,Andriatic Sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Ferri Niksic
22058,Implementation of WFD Montenegro,Real Sample,Duklov most,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Niksic,Montenegro,42.79294722,18.93425778,,,,,Andriatic Sea,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Ferri Niksic
22059,Implementation of WFD Montenegro,Real Sample,Trebaljevo,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Rovacko Trebaljevo,Montenegro,42.86181389,19.52581583,,,,,Danube River Basin,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Tapa
22060,Implementation of WFD Montenegro,Real Sample,Trebaljevo,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Rovacko Trebaljevo,Montenegro,42.86181389,19.52581583,,,,,Danube River Basin,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Tapa
22061,Implementation of WFD Montenegro,Real Sample,Nizvodno od Bijelog Polja,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Dobrakovo,Montenegro,43.13495306,19.77559389,,,,,Danube River Basin,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Lim
22062,Implementation of WFD Montenegro,Real Sample,Nizvodno od Bijelog Polja,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Dobrakovo,Montenegro,43.13495306,19.77559389,,,,,Danube River Basin,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Lim
22063,Implementation of WFD Montenegro,Real Sample,Andrijevica SW,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Andrijevica,Montenegro,42.75027611,19.79350083,,,,,Danube River Basin,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Lim
22064,Implementation of WFD Montenegro,Real Sample,Andrijevica SW,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Andrijevica,Montenegro,42.75027611,19.79350083,,,,,Danube River Basin,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Lim
22065,Implementation of WFD Montenegro,Real Sample,Nizvodno od Pljevalja,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Pljevlja,Montenegro,43.36344167,19.29890278,,,,,Danube River Basin,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Breznica
22066,Implementation of WFD Montenegro,Real Sample,Nizvodno od Pljevalja,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Pljevlja,Montenegro,43.36344167,19.29890278,,,,,Danube River Basin,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Breznica
22067,Implementation of WFD Montenegro,Real Sample,"Uzvodno od Pljevalja, Rabitlja","Sat, 07/21/2018 - 22:00","Sat, 06/16/2018 - 22:00",11,Pljevlja,Montenegro,43.311625,19.38555556,,,,,Danube River Basin,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Breznica
22068,Implementation of WFD Montenegro,Real Sample,"Uzvodno od Pljevalja, Rabitlja","Sat, 07/21/2018 - 22:00","Sat, 06/16/2018 - 22:00",10,Pljevlja,Montenegro,43.311625,19.38555556,,,,,Danube River Basin,,,,0.2,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Breznica
