ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,matrix,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,Type of sampling depth,Depth (m),Sludge total organic carbon (% of total dry weight),Groundwater fraction,pH,Temperature (°C),Dissolved organic carbon (mg/L),Capacity population equivalent,Daily flow m^3/day,MES Dry matter content (mg/L),River basin,Sludge retention time (days),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),"Name of river, estuary, lake, reservoir or sea"
19634,JDS4,Real Sample,River sediment JDS4-33 Tisza mouth (20191118MR024),"Tue, 07/09/2019 - 22:00","Tue, 06/04/2019 - 22:00",10,Zrenjanin,Serbia,45.145604,20.282187,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19635,JDS4,Real Sample,River sediment JDS4-29 Hercegszanto - Batina - Bezdan (20191118MR019),"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",11,Mohacs,Hungary,45.914079,18.801928,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19636,JDS4,Real Sample,River sediment JDS4-29 Hercegszanto - Batina - Bezdan (20191118MR019),"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",10,Mohacs,Hungary,45.914079,18.801928,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19637,JDS4,Real Sample,River sediment JDS4-24 Budapest downstream - M0 bridge (20190715MR025),"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",11,Budapest,Hungary,47.386701,19.010416,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19638,JDS4,Real Sample,River sediment JDS4-24 Budapest downstream - M0 bridge (20190715MR025),"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",10,Budapest,Hungary,47.386701,19.010416,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19639,JDS4,Real Sample,River sediment JDS4-24 Budapest downstream - M0 bridge (20190726MR019),"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",11,Budapest,Hungary,47.386701,19.010416,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19640,JDS4,Real Sample,River sediment JDS4-24 Budapest downstream - M0 bridge (20190726MR019),"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",10,Budapest,Hungary,47.386701,19.010416,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19641,JDS4,Real Sample,River sediment JDS4-24 Budapest downstream - M0 bridge (20191118MR014),"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",11,Budapest,Hungary,47.386701,19.010416,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19642,JDS4,Real Sample,River sediment JDS4-24 Budapest downstream - M0 bridge (20191118MR014),"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",10,Budapest,Hungary,47.386701,19.010416,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19643,JDS4,Real Sample,River sediment JDS4-14 Bratislava (20190627MR054),"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",11,Bratislava,Slovakia,48.13948,17.104089,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19644,JDS4,Real Sample,River sediment JDS4-14 Bratislava (20190627MR054),"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",10,Bratislava,Slovakia,48.13948,17.104089,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19645,JDS4,Real Sample,River sediment JDS4-14 Bratislava (20191118MR007),"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",11,Bratislava,Slovakia,48.13948,17.104089,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19646,JDS4,Real Sample,River sediment JDS4-14 Bratislava (20191118MR007),"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",10,Bratislava,Slovakia,48.13948,17.104089,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19647,JDS4,Real Sample,River sediment JDS4-12 Lanzhot (20190715MR029),"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",11,Breclav,Czech Republic,48.687035,16.988535,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19648,JDS4,Real Sample,River sediment JDS4-12 Lanzhot (20190715MR029),"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",10,Breclav,Czech Republic,48.687035,16.988535,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19649,JDS4,Real Sample,River sediment JDS4-11 Pohansko (20190822MR043),"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",11,Breclav,Czech Republic,48.723556,16.884981,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19650,JDS4,Real Sample,River sediment JDS4-11 Pohansko (20190822MR043),"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",10,Breclav,Czech Republic,48.723556,16.884981,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19651,JDS4,Real Sample,"River sediment JDS4-10 Hainburg, upstream Morava (20190715MR027)","Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",11,Vienna,Austria,48.151363,16.943437,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19652,JDS4,Real Sample,"River sediment JDS4-10 Hainburg, upstream Morava (20190715MR027)","Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",10,Vienna,Austria,48.151363,16.943437,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19653,JDS4,Real Sample,River sediment JDS4-09 Klosterneuburg (20190627MR050),"Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",11,Vienna,Austria,48.329499,16.332155,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19654,JDS4,Real Sample,River sediment JDS4-09 Klosterneuburg (20190627MR050),"Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",10,Vienna,Austria,48.329499,16.332155,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19655,JDS4,Real Sample,River sediment JDS4-06 Jochenstein (20190627MR048),"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",11,Passau,Germany,48.5216425,13.7038264,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19656,JDS4,Real Sample,River sediment JDS4-06 Jochenstein (20190627MR048),"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",10,Passau,Germany,48.5216425,13.7038264,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19657,JDS4,Real Sample,River sediment JDS4-01 Boefinger Halde (20190823MR007),"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",11,Ulm,Germany,48.424005,10.026232,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
19658,JDS4,Real Sample,River sediment JDS4-01 Boefinger Halde (20190823MR007),"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",10,Ulm,Germany,48.424005,10.026232,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,Other,,,Spot sampling,50.0,,,,,,,,,,,,,,,,,,,,,,,
20341,JDS4,Blank Sample,"Procedural Blank, Sediments","Wed, 07/17/2019 - 22:00","Wed, 06/12/2019 - 22:00",11,Galati,Romania,45.44,28.04,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,(Whole) Fraction < 2mm,,,Spot sampling,10.0,,,,,,,,,,,,,,,,,,,,,,,
20342,JDS4,Blank Sample,"Procedural Blank, Sediments","Wed, 07/17/2019 - 22:00","Wed, 06/12/2019 - 22:00",10,Galati,Romania,45.44,28.04,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,(Whole) Fraction < 2mm,,,Spot sampling,10.0,,,,,,,,,,,,,,,,,,,,,,,
20343,JDS4,Real Sample,Sediment from Galati,"Wed, 07/17/2019 - 22:00","Wed, 06/12/2019 - 22:00",11,Galati,Romania,45.3775,28.02362,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,(Whole) Fraction < 2mm,,,Spot sampling,10.0,,,,,,,,,,,,,,,,,,,,,,,
20344,JDS4,Real Sample,Sediment from Galati,"Wed, 07/17/2019 - 22:00","Wed, 06/12/2019 - 22:00",10,Galati,Romania,45.3775,28.02362,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,(Whole) Fraction < 2mm,,,Spot sampling,10.0,,,,,,,,,,,,,,,,,,,,,,,
20345,JDS4,Real Sample,Sediment from Ruse,"Sat, 07/13/2019 - 22:00","Sat, 06/08/2019 - 22:00",11,Ruse,Bulgaria,43.85925,25.95847,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,(Whole) Fraction < 2mm,,,Spot sampling,10.0,,,,,,,,,,,,,,,,,,,,,,,
20346,JDS4,Real Sample,Sediment from Ruse,"Sat, 07/13/2019 - 22:00","Sat, 06/08/2019 - 22:00",10,Ruse,Bulgaria,43.85925,25.95847,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,(Whole) Fraction < 2mm,,,Spot sampling,10.0,,,,,,,,,,,,,,,,,,,,,,,
20347,JDS4,Real Sample,Sediment from Budapest,"Mon, 07/15/2019 - 22:00","Mon, 06/10/2019 - 22:00",11,Budapest,Hungary,47.38717,18.991,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,(Whole) Fraction < 2mm,,,Spot sampling,10.0,,,,,,,,,,,,,,,,,,,,,,,
20348,JDS4,Real Sample,Sediment from Budapest,"Mon, 07/15/2019 - 22:00","Mon, 06/10/2019 - 22:00",10,Budapest,Hungary,47.38717,18.991,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,(Whole) Fraction < 2mm,,,Spot sampling,10.0,,,,,,,,,,,,,,,,,,,,,,,
20349,JDS4,Real Sample,Sediment from Jochenstein,"Tue, 07/09/2019 - 22:00","Tue, 06/04/2019 - 22:00",11,Passau,Germany,48.52067,13.70203,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,(Whole) Fraction < 2mm,,,Spot sampling,10.0,,,,,,,,,,,,,,,,,,,,,,,
20350,JDS4,Real Sample,Sediment from Jochenstein,"Tue, 07/09/2019 - 22:00","Tue, 06/04/2019 - 22:00",10,Passau,Germany,48.52067,13.70203,,,,,,,,,,Danube river basin,,,,,,,sediment,Danube river,(Whole) Fraction < 2mm,,,Spot sampling,10.0,,,,,,,,,,,,,,,,,,,,,,,
20177,JDS4,Real Sample,Groundwater from Samorin Kalinkovo,"Thu, 07/18/2019 - 22:00","Thu, 06/13/2019 - 22:00",11,Samorin,,48.0297701,17.283801,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,10.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,,,,,,,,,,,,,,
20178,JDS4,Real Sample,Groundwater from Samorin Kalinkovo,"Thu, 07/18/2019 - 22:00","Thu, 06/13/2019 - 22:00",10,Samorin,,48.0297701,17.283801,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,10.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,,,,,,,,,,,,,,
20179,JDS4,Real Sample,Groundwater from Novi Sad,"Mon, 07/22/2019 - 22:00","Mon, 06/17/2019 - 22:00",11,Novi Sad,,45.2585137,19.885713,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,10.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,,,,,,,,,,,,,,
20180,JDS4,Real Sample,Groundwater from Novi Sad,"Mon, 07/22/2019 - 22:00","Mon, 06/17/2019 - 22:00",10,Novi Sad,,45.2585137,19.8857131,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,10.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,,,,,,,,,,,,,,
20181,JDS4,Real Sample,Groundwater from Slobozia,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",11,Slobozia,,43.881083,25.91475,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,10.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,,,,,,,,,,,,,,
20182,JDS4,Real Sample,Groundwater from Slobozia,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",10,Slobozia,,43.881083,25.91475,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,10.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,,,,,,,,,,,,,,
20183,JDS4,Real Sample,Groundwater from Surany,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",11,Szentendre,,47.728225,19.12368031,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,10.0,,Whole water with determination on each separate phase (sum of all phases),7.8,13.5,,,,,,,,,,,,,,,,,,,
20184,JDS4,Real Sample,Groundwater from Surany,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",10,Szentendre,,47.728225,19.12368031,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,10.0,,Whole water with determination on each separate phase (sum of all phases),7.8,13.5,,,,,,,,,,,,,,,,,,,
20185,JDS4,Real Sample,Groundwater from Topolje,"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",11,Beli Manastir,,45.866695,18.749972,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,10.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,,,,,,,,,,,,,,
20186,JDS4,Real Sample,Groundwater from Topolje,"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",10,Beli Manastir,,45.866695,18.749972,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,10.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,,,,,,,,,,,,,,
20187,JDS4,Real Sample,Groundwater from Slivo,"Tue, 07/30/2019 - 22:00","Tue, 06/25/2019 - 22:00",11,Ruse,,43.976702,26.198527,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,10.0,,Whole water with determination on each separate phase (sum of all phases),7.03,15.1,,,,,,,,,,,,,,,,,,,
20188,JDS4,Real Sample,Groundwater from Slivo,"Tue, 07/30/2019 - 22:00","Tue, 06/25/2019 - 22:00",10,Ruse,,43.976702,26.198527,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,10.0,,Whole water with determination on each separate phase (sum of all phases),7.03,15.1,,,,,,,,,,,,,,,,,,,
20189,JDS4,Real Sample,Groundwater from Lobau,"Mon, 07/29/2019 - 22:00","Mon, 06/24/2019 - 22:00",11,Vienna,,48.35218,14.02645,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,10.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,,,,,,,,,,,,,,
20190,JDS4,Real Sample,Groundwater from Lobau,"Mon, 07/29/2019 - 22:00","Mon, 06/24/2019 - 22:00",10,Vienna,,48.35218,14.02645,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,10.0,,Whole water with determination on each separate phase (sum of all phases),,,,,,,,,,,,,,,,,,,,,
20191,JDS4,Blank Sample,Procedural Blank,"Thu, 07/18/2019 - 22:00","Thu, 06/13/2019 - 22:00",11,Samorin,,48.0297701,17.283801,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,0.0,,Dissolved fraction,,,,,,,,,,,,,,,,,,,,,
20192,JDS4,Blank Sample,Procedural Blank,"Thu, 07/18/2019 - 22:00","Thu, 06/13/2019 - 22:00",10,Samorin,,48.0297701,17.283801,,,,,,,,,,,,,,,,,groundwater,,,,,Spot sampling,0.0,,Dissolved fraction,,,,,,,,,,,,,,,,,,,,,
20193,JDS4,Real Sample,Influent wastewater from Uzhgorod,"Tue, 08/27/2019 - 22:00","Tue, 07/23/2019 - 22:00",11,Uzhhorod,Ukraine,48.628453,22.287617,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,7.3,,,78280.0,47400.0,,,,,,Activated sludge (including SBR) - C+N (Nitrification),Waste water - Municipal,Influent wastewater,,Dissolved fraction,48.628453,,,,,
20194,JDS4,Real Sample,Influent wastewater from Uzhgorod,"Tue, 08/27/2019 - 22:00","Tue, 07/23/2019 - 22:00",10,Uzhhorod,Ukraine,48.628453,22.287617,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,7.3,,,78280.0,47400.0,,,,,,Activated sludge (including SBR) - C+N (Nitrification),Waste water - Municipal,Influent wastewater,,Dissolved fraction,48.628453,,,,,
20195,JDS4,Real Sample,Effluent wastewater from Uzhgorod,"Tue, 08/27/2019 - 22:00","Tue, 07/23/2019 - 22:00",11,Uzhhorod,Ukraine,48.628453,22.287617,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,7.6,22.0,,78280.0,47400.0,,,,,,Activated sludge (including SBR) - C+N (Nitrification),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,48.628453,,,,,
20196,JDS4,Real Sample,Effluent wastewater from Uzhgorod,"Tue, 08/27/2019 - 22:00","Tue, 07/23/2019 - 22:00",10,Uzhhorod,Ukraine,48.628453,22.287617,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,7.6,22.0,,78280.0,47400.0,,,,,,Activated sludge (including SBR) - C+N (Nitrification),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,48.628453,,,,,
20197,JDS4,Real Sample,Influent wastewater from Vratsa,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",11,Vraca,Bulgaria,43.244222,23.558472,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,7.2,,,22310.0,8774.0,,,,,,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Influent wastewater,,Dissolved fraction,43.244222,,,,,
20198,JDS4,Real Sample,Influent wastewater from Vratsa,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",10,Vraca,Bulgaria,43.244222,23.558472,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,7.2,,,22310.0,8774.0,,,,,,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Influent wastewater,,Dissolved fraction,43.244222,,,,,
20199,JDS4,Real Sample,Effluent wastewater from Vratsa,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",11,Vraca,Bulgaria,43.244222,23.558472,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,7.1,18.0,,22310.0,8774.0,,,,,,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,43.244222,,,,,
20200,JDS4,Real Sample,Effluent wastewater from Vratsa,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",10,Vraca,Bulgaria,43.244222,23.558472,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,7.1,18.0,,22310.0,8774.0,,,,,,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,43.244222,,,,,
20201,JDS4,Real Sample,Influent wastewater from Giurgiu,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",11,Giurgiu,Romania,43.87214,25.96829,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,8.4,,,62894.0,9600.0,,,,,,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Influent wastewater,,Dissolved fraction,43.87214,,,,,
20202,JDS4,Real Sample,Influent wastewater from Giurgiu,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",10,Giurgiu,Romania,43.87214,25.96829,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,8.4,,,62894.0,9600.0,,,,,,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Influent wastewater,,Dissolved fraction,43.87214,,,,,
20203,JDS4,Real Sample,Effluent wastewater from Giurgiu,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",11,Giurgiu,Romania,43.87214,25.96829,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,8.2,24.0,,62894.0,9600.0,,,,,,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,43.87214,,,,,
20204,JDS4,Real Sample,Effluent wastewater from Giurgiu,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",10,Giurgiu,Romania,43.87214,25.96829,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,8.2,24.0,,62894.0,9600.0,,,,,,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,43.87214,,,,,
20205,JDS4,Real Sample,Influent wastewater from Sabac,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",11,Sabac,Serbia,44.743972,19.726941,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,6.89,,,84000.0,13508.0,,,,,,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Influent wastewater,,Dissolved fraction,44.743972,,,,,
20206,JDS4,Real Sample,Influent wastewater from Sabac,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",10,Sabac,Serbia,44.743972,19.726941,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,6.89,,,84000.0,13508.0,,,,,,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Influent wastewater,,Dissolved fraction,44.743972,,,,,
20207,JDS4,Real Sample,Effluent wastewater from Sabac,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",11,Sabac,Serbia,44.743972,19.726941,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,7.1,21.39,,84000.0,13508.0,,,,,,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,44.743972,,,,,
20208,JDS4,Real Sample,Effluent wastewater from Sabac,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",10,Sabac,Serbia,44.743972,19.726941,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,7.1,21.39,,84000.0,13508.0,,,,,,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,44.743972,,,,,
20209,JDS4,Real Sample,Influent wastewater from Zupanja,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",11,Zupanja,Croatia,45.0775,18.6975,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,5.6,,,17000.0,2073.0,,,,,,Activated sludge (including SBR) - C+N+DN (Denitrification),Waste water - Municipal,Influent wastewater,,Dissolved fraction,45.0775,,,,,
20210,JDS4,Real Sample,Influent wastewater from Zupanja,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",10,Zupanja,Croatia,45.0775,18.6975,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,5.6,,,17000.0,2073.0,,,,,,Activated sludge (including SBR) - C+N+DN (Denitrification),Waste water - Municipal,Influent wastewater,,Dissolved fraction,45.0775,,,,,
20211,JDS4,Real Sample,Effluent wastewater from Zupanja,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",11,Zupanja,Croatia,45.0775,18.6975,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,7.0,26.6,,17000.0,2073.0,,,,,,Activated sludge (including SBR) - C+N+DN (Denitrification),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,45.0775,,,,,
20212,JDS4,Real Sample,Effluent wastewater from Zupanja,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",10,Zupanja,Croatia,45.0775,18.6975,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,7.0,26.6,,17000.0,2073.0,,,,,,Activated sludge (including SBR) - C+N+DN (Denitrification),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,45.0775,,,,,
20213,JDS4,Real Sample,Influent wastewater from Novo Nesto,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",11,Novo Mesto,Slovenia,45.817781,15.180665,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,8.0,-0.01,,55000.0,4620.0,,,,,B.1. Nanofiltration,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Influent wastewater,,Dissolved fraction,45.817781,,,,,
20214,JDS4,Real Sample,Influent wastewater from Novo Nesto,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",10,Novo Mesto,Slovenia,45.817781,15.180665,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,8.0,-0.01,,55000.0,4620.0,,,,,B.1. Nanofiltration,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Influent wastewater,,Dissolved fraction,45.817781,,,,,
20215,JDS4,Real Sample,Effluent wastewater from Novo Nesto,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",11,Novo Mesto,Slovenia,45.817781,15.180665,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,8.2,24.3,,55000.0,4620.0,,,,,B.1. Nanofiltration,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,45.817781,,,,,
20216,JDS4,Real Sample,Effluent wastewater from Novo Nesto,"Mon, 08/26/2019 - 22:00","Mon, 07/22/2019 - 22:00",10,Novo Mesto,Slovenia,45.817781,15.180665,,,,,,,,,,,,,,,,,wastewater,,,,,,,,,8.2,24.3,,55000.0,4620.0,,,,,B.1. Nanofiltration,Activated sludge (including SBR) - C+N+DN+P,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,45.817781,,,,,
