ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth,matrix
20695,JDS4 Direct injection,Real Sample,River water 08 Oberloiben,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",95,Linz,Austria,48.385326,15.533342,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.22,19.3,,Danube River Basin,Danube River Basin,,,,surface-water
20696,JDS4 Direct injection,Real Sample,River water 07 Enghagen,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",96,Linz,Austria,48.241034,14.513545,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.3,18.5,,Danube River Basin,Danube River Basin,,,,surface-water
20697,JDS4 Direct injection,Real Sample,River water 07 Enghagen,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",95,Linz,Austria,48.241034,14.513545,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.3,18.5,,Danube River Basin,Danube River Basin,,,,surface-water
20698,JDS4 Direct injection,Real Sample,River water 06 Jochenstein,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",96,Ulm,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,,surface-water
20699,JDS4 Direct injection,Real Sample,River water 06 Jochenstein,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",95,Ulm,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,,surface-water
20700,JDS4 Direct injection,Real Sample,River water 05 Inn at Passau-Ingling below power station,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",96,Ulm,Germany,48.557238,13.436065,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.27,16.0,,Danube River Basin,Danube River Basin,,,,surface-water
20701,JDS4 Direct injection,Real Sample,River water 05 Inn at Passau-Ingling below power station,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",95,Ulm,Germany,48.557238,13.436065,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.27,16.0,,Danube River Basin,Danube River Basin,,,,surface-water
20702,JDS4 Direct injection,Real Sample,River water 04 Niederalteich - Muhlau,"Sun, 06/30/2019 - 22:00","Sun, 05/26/2019 - 22:00",96,Ulm,Germany,48.772996,13.009893,,Whole water with determination on each separate phase (sum of all phases),,,0.1,6.07,27.6,,Danube River Basin,Danube River Basin,,,,surface-water
20703,JDS4 Direct injection,Real Sample,River water 04 Niederalteich - Muhlau,"Sun, 06/30/2019 - 22:00","Sun, 05/26/2019 - 22:00",95,Ulm,Germany,48.772996,13.009893,,Whole water with determination on each separate phase (sum of all phases),,,0.1,6.07,27.6,,Danube River Basin,Danube River Basin,,,,surface-water
20704,JDS4 Direct injection,Real Sample,River water 03 Kelheim,"Sun, 06/30/2019 - 22:00","Sun, 05/26/2019 - 22:00",96,Ulm,Germany,48.916176,11.866875,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.27,23.5,,Danube River Basin,Danube River Basin,,,,surface-water
20705,JDS4 Direct injection,Real Sample,River water 03 Kelheim,"Sun, 06/30/2019 - 22:00","Sun, 05/26/2019 - 22:00",95,Ulm,Germany,48.916176,11.866875,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.27,23.5,,Danube River Basin,Danube River Basin,,,,surface-water
20706,JDS4 Direct injection,Real Sample,River water 02 Bittenbrunn 700m below power station,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",96,Ulm,Germany,48.7347,11.144794,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.25,22.0,,Danube River Basin,Danube River Basin,,,,surface-water
20707,JDS4 Direct injection,Real Sample,River water 02 Bittenbrunn 700m below power station,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",95,Ulm,Germany,48.7347,11.144794,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.25,22.0,,Danube River Basin,Danube River Basin,,,,surface-water
20708,JDS4 Direct injection,Real Sample,River water 01 Boefinger Halde,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",96,Ulm,Germany,48.424005,10.026232,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.12,20.03,,Danube River Basin,Danube River Basin,,,,surface-water
20709,JDS4 Direct injection,Real Sample,River water 01 Boefinger Halde,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",95,Ulm,Germany,48.424005,10.026232,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.12,20.03,,Danube River Basin,Danube River Basin,,,,surface-water
