Liver,Muscle,Egg,Other,id
True,True,True,False,NS00025203
True,False,False,False,NS00009235
True,True,True,True,NS00041930
True,True,True,True,NS00040730
True,False,False,False,NS00097296
True,False,False,False,NS00063717
True,True,False,False,NS00096130
True,False,False,False,NS00068181
True,False,False,False,NS00041092
True,True,True,True,NS00079427
True,True,True,True,NS00019705
True,True,False,False,NS00015218
True,True,True,True,NS00053093
True,False,False,False,NS00093865
True,True,True,True,NS00051247
True,False,False,False,NS00102482
True,False,False,False,NS00097072
True,False,False,False,NS00055046
True,True,False,False,NS00083062
True,True,True,True,NS00091206
True,False,False,False,NS00053525
True,False,False,False,NS00044980
True,True,False,False,NS00027832
True,False,False,False,NS00007986
True,True,False,True,NS00030548
True,True,True,True,NS00032841
True,True,False,False,NS00077503
True,False,False,False,NS00097339
True,False,False,False,NS00002145
True,True,True,False,NS00038184
True,True,True,True,NS00056605
True,True,False,False,NS00038659
True,True,True,True,NS00057017
True,True,True,True,NS00081944
True,False,False,False,NS00031659
True,False,False,False,NS00104010
True,True,True,True,NS00049140
True,False,False,False,NS00004773
True,False,False,True,NS00010280
True,True,False,False,NS00042671
True,True,False,True,NS00020597
True,False,False,False,NS00093861
True,True,True,True,NS00048539
True,True,False,True,NS00061696
True,False,False,False,NS00028655
True,False,False,False,NS00043758
True,True,False,True,NS00026184
True,False,False,False,NS00012584
True,True,False,False,NS00021885
True,False,False,False,NS00059756
True,True,False,True,NS00070820
True,True,True,True,NS00045249
True,False,False,False,NS00039040
True,True,False,True,NS00025671
True,False,False,False,NS00050314
True,True,False,False,NS00056232
True,False,False,False,NS00081299
True,True,False,False,NS00080808
True,False,False,False,NS00011933
True,False,False,False,NS00043320
True,True,False,True,NS00026720
True,True,True,True,NS00093006
True,False,False,False,NS00035603
True,False,False,False,NS00076848
True,True,False,True,NS00023665
True,False,False,False,NS00070563
True,True,True,True,NS00044347
True,True,True,True,NS00077167
True,False,False,False,NS00004242
True,True,False,False,NS00094827
True,True,True,True,NS00009579
True,False,False,False,NS00077429
True,False,True,False,NS00025643
True,True,False,True,NS00024123
True,False,False,False,NS00068083
True,False,False,False,NS00044847
True,True,True,True,NS00027561
True,True,False,False,NS00080307
True,False,False,False,NS00059565
True,False,False,False,NS00012962
True,False,False,False,NS00025478
True,True,True,True,NS00046367
True,False,False,False,NS00017061
True,True,False,False,NS00087259
True,False,False,False,NS00056607
True,True,False,True,NS00089689
True,True,False,True,NS00056666
True,False,False,False,NS00022559
True,False,False,False,NS00054966
True,True,False,False,NS00015213
True,True,True,True,NS00101077
True,True,False,False,NS00015216
True,False,False,False,NS00000013
True,True,True,True,NS00087997
True,False,False,False,NS00049960
True,True,False,False,NS00059215
True,False,False,False,NS00033382
True,False,False,False,NS00035548
True,False,False,False,NS00048020
True,True,True,True,NS00041357
True,False,False,False,NS00012560
True,False,False,False,NS00089881
True,True,False,False,NS00064578
True,False,False,False,NS00072057
True,False,False,False,NS00093208
True,True,False,False,NS00101016
True,True,True,True,NS00007075
True,True,True,True,NS00057102
True,True,False,False,NS00059184
True,True,False,False,NS00044904
True,True,False,False,NS00077598
True,False,False,False,NS00068969
True,True,True,False,NS00042478
True,True,True,False,NS00024994
True,False,False,False,NS00097046
True,True,True,True,NS00012989
True,True,True,True,NS00023564
True,True,True,False,NS00051676
True,True,True,False,NS00060652
True,False,False,False,NS00047596
True,False,False,False,NS00023166
True,False,False,False,NS00065602
True,False,False,False,NS00046659
True,False,False,False,NS00070410
True,False,False,False,NS00036173
True,False,False,False,NS00004662
True,True,True,True,NS00015772
True,True,False,False,NS00009663
True,True,True,True,NS00019773
True,True,False,False,NS00067871
True,True,True,True,NS00099351
True,False,False,False,NS00058211
True,False,False,False,NS00010338
True,True,False,True,NS00006597
True,False,False,False,NS00091256
True,True,False,False,NS00057269
True,False,False,False,NS00097434
True,True,False,True,NS00004035
True,False,False,False,NS00002106
True,False,False,False,NS00009432
True,False,False,False,NS00048001
True,True,False,False,NS00063426
True,False,False,True,NS00035136
True,False,False,False,NS00102182
True,True,True,False,NS00026200
True,False,False,False,NS00093900
True,False,False,False,NS00007997
True,True,False,False,NS00022421
True,True,True,True,NS00071557
True,True,False,False,NS00041348
True,True,False,True,NS00039754
True,True,False,True,NS00027586
True,True,True,True,NS00068158
True,False,False,False,NS00047551
True,True,False,False,NS00045323
True,False,False,False,NS00044428
True,True,True,True,NS00025233
True,False,False,False,NS00035624
True,False,False,False,NS00033946
True,True,False,True,NS00057574
True,True,False,True,NS00064845
True,True,False,False,NS00043436
True,False,False,False,NS00049871
True,False,False,False,NS00003422
True,True,False,False,NS00016751
True,True,False,True,NS00059167
True,False,False,False,NS00069893
True,False,False,False,NS00034751
True,True,False,False,NS00027137
True,False,False,False,NS00043505
